Part numbe          ;Supplier            ;Supplier N          
7130049AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7130067AA         ;433566;DELO INDUSTRIEKLEBSTOFFE GMBH AND  
7130068AA         ;433566;DELO INDUSTRIEKLEBSTOFFE GMBH AND  
7130070AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7160097AC         ;SGT       ;Plastic Omnium e.Power GmbH        
7160098AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7160099AC         ;SGT       ;Plastic Omnium e.Power GmbH        
7160112AA         ;434146;ADDEV ADHIS                        
7210692AA         ;412480;TTI INC                            
7221116AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221117AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7221118AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221119AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221122AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7221153AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221158AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7221171AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221176AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221218AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221250AA         ;434033;PUBLIFIX INDUSTRIES                
7221251AA         ;434033;PUBLIFIX INDUSTRIES                
7221252AA         ;434033;PUBLIFIX INDUSTRIES                
7221253AA         ;434033;PUBLIFIX INDUSTRIES                
7221254AA         ;434033;PUBLIFIX INDUSTRIES                
7221255AA         ;434033;PUBLIFIX INDUSTRIES                
7221256AA         ;434033;PUBLIFIX INDUSTRIES                
7221257AA         ;434033;PUBLIFIX INDUSTRIES                
7221258AA         ;434033;PUBLIFIX INDUSTRIES                
7221259AA         ;434033;PUBLIFIX INDUSTRIES                
7221260AA         ;434033;PUBLIFIX INDUSTRIES                
7221282AA         ;434033;PUBLIFIX INDUSTRIES                
7221283AA         ;434033;PUBLIFIX INDUSTRIES                
7221284AA         ;434033;PUBLIFIX INDUSTRIES                
7221285AA         ;434033;PUBLIFIX INDUSTRIES                
7221286AA         ;434033;PUBLIFIX INDUSTRIES                
7221287AA         ;434033;PUBLIFIX INDUSTRIES                
7221309AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221329AA         ;434033;PUBLIFIX INDUSTRIES                
7221345AA         ;434033;PUBLIFIX INDUSTRIES                
7221358AA         ;434033;PUBLIFIX INDUSTRIES                
7221371AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221374AA         ;434033;PUBLIFIX INDUSTRIES                
7221376AA         ;434033;PUBLIFIX INDUSTRIES                
7221377AA         ;434033;PUBLIFIX INDUSTRIES                
7221378AA         ;434033;PUBLIFIX INDUSTRIES                
7221389AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221390AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221391AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221392AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7221393AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230528AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230546AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230564AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7230612AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230627AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230634AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230642AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7230657AA         ;434181;VALSEM INDUSTRIES SAS              
7230665AA         ;412272;RS COMPONENTS SAS                  
7230666AA         ;412272;RS COMPONENTS SAS                  
7230667AA         ;430235;BOSSARD FRANCE                     
7230668AA         ;401721;TH INDUSTRIE                       
7230669AA         ;431057;ISP FRANCE                         
7230670AA         ;412272;RS COMPONENTS SAS                  
7322067AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7322146AA         ;430235;BOSSARD FRANCE                     
;431057;ISP FRANCE                         
7322156AA         ;430235;BOSSARD FRANCE                     
;431057;ISP FRANCE                         
7331296AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331341AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331343AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331365AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331368AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331370AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331371AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331372AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331373AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331392AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331406AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331444AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331466AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331467AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331524AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331528AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331640AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331678AA         ;404482;ERCE  PLASTURGIE                   
7331690AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331693AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331694AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331695AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331701AA         ;434146;ADDEV ADHIS                        
7331704AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331707AA         ;431779;BROWNELL LIMITED                   
7331715AA         ;430235;BOSSARD FRANCE                     
7331716AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331717AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331736AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7331741AA         ;431779;BROWNELL LIMITED                   
7331833AA         ;404482;ERCE  PLASTURGIE                   
7331850AA         ;430235;BOSSARD FRANCE                     
7331892AA         ;404482;ERCE  PLASTURGIE                   
7331893AA         ;404482;ERCE  PLASTURGIE                   
7331894AA         ;404482;ERCE  PLASTURGIE                   
7331961AA         ;434356;IPR TECH                           
7331994AA         ;429747;DIGI-KEY CORPORATION               
7411566AA         ;431779;BROWNELL LIMITED                   
;SGT       ;Plastic Omnium e.Power GmbH        
7411574AA         ;412272;RS COMPONENTS SAS                  
7440553AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7440554AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7440555AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7440577AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7440578AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7440605AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7440781AA         ;432755;HUTCHINSON S.N.C.                  
7440782AA         ;432755;HUTCHINSON S.N.C.                  
7440798AA         ;432755;HUTCHINSON S.N.C.                  
7440799AA         ;432755;HUTCHINSON S.N.C.                  
7440800AA         ;432755;HUTCHINSON S.N.C.                  
7450096AA         ;430235;BOSSARD FRANCE                     
7550282AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560659AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560874AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560876AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560891AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560892AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560895AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560898AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560899AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560900AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560902AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560909AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560911AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560916AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560918AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560919AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560924AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560925AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560929AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560930AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560931AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560933AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560937AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560938AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560941AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560944AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7560946AA         ;SGT       ;Plastic Omnium e.Power GmbH        
