componant;Product;quantity;location
4157376AA;4P_PREP;1;Vide
4157377AA;4P_PREP;1;Vide
4157378AA;4P_PREP;4;Vide
4157379AA;4P_PREP;11;Vide
4157380AA;4P_PREP;14;Vide
4157381AA;4P_PREP;17;Vide
4157382AA;4P_PREP;15;Vide
4157383AA;4P_PREP;3;Vide
4157384AA;4P_PREP;6;Vide
4157386AA;4P_PREP;3;Vide
7160098AB;4P_PREP;5;Chariot ?
7322067AA;4P_PREP;64;D-3-1-4
7331368AA;4P_PREP;65;D-3-1-3
7331370AA;4P_PREP;2;G-2-4-1
7331694AA;4P_PREP;24;H-3-3-1
7331695AA;4P_PREP;40;H-2-3-2
7331736AA;4P_PREP;9;G-3-2-1
7440578AA;4P_PREP;6,6;Palletier ?
7440823AA;4P_PREP;10;H-4-2-2
7440824AA;4P_PREP;0,9;G-1-2-2
7560876AA;4P_PREP;1;H-1-3-3
7560946AA;4P_PREP;1;I-7-1-2
7561750AA;4P_PREP;2;D-8-1-1
7561759AA;4P_PREP;4;I-6-3-1
7571232AA;4P_PREP;46;D-9-2-1 / D-9-2-2
7571233AA;4P_PREP;61;D-9-2-3
7571234AA;4P_PREP;15;D-9-2-4
7571659AA;4P_PREP;2;D-9-3-3
7572152AA;4P_PREP;16;H-1-3-3
7572153AA;4P_PREP;2;H-4-2-1
7572154AA;4P_PREP;2;H-1-3-1
7573072AA;4P_PREP;4;H-5-3-3
7680012AA;4P_PREP;96;D-5-3-4
7680144AA;4P_PREP;576;G-4-4-1
7680148AA;4P_PREP;96;D-5-3-1
7680154AA;4P_PREP;54;Vide
7680307AB;4P_PREP;6;J-2-3
7680543AA;4P_PREP;1;Palletier ?
7680733AA;4P_PREP;4;D-5-2-2
7710474AA;4P_PREP;1;Vide
7710475AA;4P_PREP;122;Vide
7710476AA;4P_PREP;2;D-9-4-2 / D-9-4-3
7710571AA;4P_PREP;6,6;J-4-1
7990348AA;4P_PREP;1;D-9-1-4
7990693AA;4P_PREP;2;G-4-4-3
7560929AA;4P_PREP;;I-2-4-1 / I-4-5-3
7560966AA;4P_PREP;;I-2-4-2
7710485AA;4P_PREP;;Vide
7331291AA;4P_TK01;288;D-5-1-1 / 1-2 / 1-3 / 1-4-1
7560876AA;4P_TK01;818;H-1-3-3
7560930AA;4P_TK01;818;I-5-1-3
7572972AA;4P_TK01;346;D-8-2-1 / D-8-2-2 / D-8-2-2
7572976AB;4P_TK01;102;Vide
7572977AA;4P_TK01;100;D-8-1-5
7573276AA;4P_TK01;20;D-7-1-2
7623097AA;4P_TK01;100;I-7-4-4
7680776AA;4P_TK01;173;H-3-2-3
7560900AA;4P_TK2;288;I-3-1-1
7560909AA ;4P_TK2;144;Vide
7560911AA;4P_TK2;12;I-3-1-4
7560919AA;4P_TK2;144;I-4-1-3
7560957AA;4P_TK2;288;I-2-2-1
7561232AA;4P_TK2;12;I-7-2-3
7561249AA;4P_TK2;144;I-7-6-1
7561906AA;4P_TK2;210;I-3-4-1
7572287AA;4P_TK2;3;D-6-3-3
7572325AA;4P_TK2;3;G-4-1-2
7572327AA;4P_TK2;3;G-2-2-3
7572973AA;4P_TK2;570;D-8-3-2 / D-8-3-3
7572997AA;4P_TK2;3;G-3-3-1
7572998AA;4P_TK2;3;G-2-3-2
7573045AA;4P_TK2;3;G-2-3-3
7573081AA;4P_TK2;3;G-4-1-1
7623097AA;4P_TK2;345;I-7-4-4
7680012AA;4P_TK2;288;D-5-3-4
7680148AA;4P_TK2;288;D-5-3-1
7680626AA;4P_TK2;120;G-5-4-1
7680732AA;4P_TK2;60;H-2-3-1
7331418AA;4P_TK2;135;D-4-3-1
4155329AA;4P_TK4;1;J-3-3
4157318AA;4P_TK4;1;C923
4157319AA;4P_TK4;1;C812
4157321AA;4P_TK4;2;C811
4157322AA;4P_TK4;1;C913
4157323AA;4P_TK4;1;C912
4157324AA;4P_TK4;1;C911
4157325AA;4P_TK4;1;Vide
4157327AA;4P_TK4;1;C822
4157328AA;4P_TK4;1;C821
4159447AA;4P_TK4;14;C 6 1 2 
4159448AA;4P_TK4;3;C 6 1 1 
4159449AA;4P_TK4;2;C624
4159450AA;4P_TK4;2;C623
4159451AA;4P_TK4;2;C 6 22
4159452AA;4P_TK4;1;C6 2 1
4159454AA;4P_TK4;1;C632
7130070AA;4P_TK4;5,2;J-1-3
7160097AC;4P_TK4;1,3;J-1-3
7230642AA;4P_TK4;1;J-2-3
7331365AA;4P_TK4;2;D-3-1-2
7331406AA;4P_TK4;72;B-10-1-1
7331444AA;4P_TK4;20;D-4-1-1 / 1-2
7331467AA;4P_TK4;60;D-4-2-4 / 3-4 / 4-4
7331693AA;4P_TK4;24;H-3-3-2
7331717AA;4P_TK4;5;D-5-3-2
7440553AB;4P_TK4;1;B-10-3-1
7560876AA;4P_TK4;2;H-1-3-3
7560996AA;4P_TK4;10;I-4-2-2
7560998AA;4P_TK4;72;I-4-2-4
7560999AA;4P_TK4;192;I-5-2-1
7561432AA;4P_TK4;3;I-2-3-4
7561435AA;4P_TK4;3;I-3-3-1
7561439AA;4P_TK4;3;I-3-3-2
7561454AA;4P_TK4;58;I-4-3-2
7572329AA;4P_TK4;3;Vide
7572330AA;4P_TK4;3;Vide
7622845AA ;4P_TK4;50;Vide
4157324AA;4P_TK4;1;C911
7331418AA;4P_TK4;1000;D-4-3-1
7331466AA;4P_TK4;170;D-4-3-2
4159971AA;4P_TK5;1;H-4-3-1
4159972AA;4P_TK5;1;H-4-3-2
4159973AA;4P_TK5;1;H-4-3-3
4159975AA;4P_TK5;1;H-4-3-4
7130072AA ;4P_TK5;0,02;Vide
7331466AA ;4P_TK5;15;Vide
7331467AA;4P_TK5;20;D-4-2-4 / 3-4 / 4-4
7560659AA;4P_TK5;8;I-7-5-3
7560900AA;4P_TK5;96;I-3-1-1
7560911AA;4P_TK5;8;I-3-1-4
7560931AA;4P_TK5;4;I-5-1-4
7560938AA;4P_TK5;68;I-6-1-3
7560948AA;4P_TK5;8;I-7-1-4
7560949AA;4P_TK5;92;I-4-4-2
7560950AA;4P_TK5;108;Vide
7560951AA;4P_TK5;8;Vide
7560954AA ;4P_TK5;4;Vide
7562026AA;4P_TK5;68;Vide
7562044AA;4P_TK5;8;G-3-3-2
7562057AA;4P_TK5;8;Vide
7573002AB;4P_TK5;17;D-9-1-1
petit gaine orange;4P_TK5;8;Vide
grand gaine orange;4P_TK5;8;Vide
7331418AA;4P_TK5;25;D-4-3-1
4159976AA;4P_TK6;1;H-4-3-5
4159981AA;4P_TK6;1;H-4-3-6
7130049AA;4P_TK6;0,01;J-1-2
7160097AC;4P_TK6;5;J-1-3
7331365AA;4P_TK6;2;D-3-1-2
7331467AA;4P_TK6;15;D-4-2-4 / 3-4 / 4-4
7331524AA;4P_TK6;2;J-2-2
7331528AA;4P_TK6;2;B-10-1-4
7440553AB;4P_TK6;0,17;B-10-3-1
7560902AA;4P_TK6;24;I-3-1-2
7560918AA;4P_TK6;1;I-4-1-2
