reference;description;qty;Place ;Nlot;Kitting ;pb_type;Comment
4159944AA;FIXATION STRIP AND BUSHING ASSEMBLY 3S3P;92;;;;;
4159944AA;FIXATION STRIP AND BUSHING ASSEMBLY 3S3P;100;;;;;
4159945AA;FIXATION STRIP AND BUSHING ASSEMBLY 5S3P;33;;;;;
7560876AA;MET SCREW ISO4762 ST-8.8 A2K M5X16;818;Screw 01-2-1;;;;
7560929AA;CYLINDRICAL PIN 4X26 M6 HARDENED DIN6325;283;I-2-2;;;;
7560930AA;MET WASHER NSK-E ST-430HV M5ZNNI OD10.;818;Screw 02-5-4;;;;
7560966AA;MET FAST ISO8734 PIN 4X18 M6 HARDENED;250;I-2-3;;;;
7572310AA;ROW TO ROW CONNECTOR CLINCHED 90ø;34;E-3-1;;;;
7572315AA;BUS BAR 2S3P V1 45 DEGREES;132;F-4-2;;;;
7572316AA;BUS BAR 2S3P V1 55 DEGREES;132;E-4-1;;;;
7572319AA;SHORT BUS BAR 1S3P;34;E-1-3;;;;
7680171AA;UPDATED ISOLATION PLATE 1MM WITH TAB;232;;;;;
7710558AA;PP STRAPPING BAND3000 M X 12 X 0 63 MM 1;80,6;;;;;
